GENE_ENTREZ_ID,GENE_SYMBOL,DISEASE_IDS
84100,ARL6,"OMIM:209900,OMIM:600151,ORPHA:791,OMIM:268000,ORPHA:110,OMIM:613575"
582,BBS1,"OMIM:209900,ORPHA:110"
79140,CCDC28B,OMIM:209900
51626,DYNC2LI1,"ORPHA:289,ORPHA:474,OMIM:617088"
2263,FGFR2,"OMIM:101200,OMIM:123790,OMIM:609579,OMIM:149730,ORPHA:87,ORPHA:207,ORPHA:1540,ORPHA:1555,OMIM:613659,ORPHA:313855,ORPHA:83,ORPHA:168624,ORPHA:93260,OMIM:101400,ORPHA:794,ORPHA:2363,OMIM:207410,OMIM:123500,OMIM:614592,OMIM:101600,OMIM:123150,ORPHA:93258,ORPHA:93259"
80144,FRAS1,"OMIM:219000,ORPHA:2052"
341640,FREM2,"ORPHA:2052,OMIM:123570,OMIM:617666"
2625,GATA3,"ORPHA:2237,OMIM:146255"
23426,GRIP1,"OMIM:617667,ORPHA:2052"
8516,ITGA8,"ORPHA:1848,OMIM:191830"
9928,KIF14,"OMIM:616258,ORPHA:2512,OMIM:617914"
8195,MKKS,"OMIM:605231,OMIM:236700,ORPHA:2473,ORPHA:110"
5447,POR,"OMIM:207410,OMIM:201750,ORPHA:95699,OMIM:613571,ORPHA:83"
340419,RSPO2,"OMIM:618021,OMIM:618022,ORPHA:3301"
7473,WNT3,"OMIM:273395,ORPHA:3301"
7490,WT1,"OMIM:194072,OMIM:106210,OMIM:608978,OMIM:156240,OMIM:194070,ORPHA:3097,ORPHA:83469,OMIM:194080,ORPHA:656,ORPHA:251510,ORPHA:242,ORPHA:347,OMIM:256370,ORPHA:654,ORPHA:893,ORPHA:220,OMIM:136680"
